game_id,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
85707,perfect,482,482,,,,,
85886,dropped,0,0,,,,illegal_share_buy,
85891,perfect,594,594,,,,,
85971,perfect,748,748,,,,,
86016,perfect,485,485,,,,,
86032,perfect,578,578,,,,,
86050,perfect,769,769,,,,,
86190,perfect,741,741,,,,,
86244,perfect,403,403,,,,,
86492,perfect,549,549,,,,,
87146,perfect,367,367,,,,,
87433,perfect,926,926,,,,,
87454,dropped,0,0,,,,illegal_share_buy,
87543,perfect,645,645,,,,,
87700,perfect,779,779,,,,,
87845,perfect,460,460,,,,,
88113,perfect,419,419,,,,,
88330,perfect,403,403,,,,,
88473,perfect,853,853,,,,,
88767,perfect,872,872,,,,,
88813,perfect,372,372,,,,,
88968,perfect,867,867,,,,,
