game_id,num_players,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
70656,4,perfect,761,761,,,,,
66326,4,perfect,295,295,,,,,
52872,3,dropped,0,0,,,,illegal_share_buy,
49669,4,perfect,776,776,,,,,
73218,5,perfect,913,913,,,,,
73698,3,perfect,623,623,,,,,
27777,3,perfect,783,783,,,,,
84212,5,perfect,908,908,,,,,
63792,4,perfect,788,788,,,,,
68543,4,perfect,360,360,,,,,
70713,4,perfect,597,597,,,,,
53936,4,dropped,0,0,,,,illegal_share_buy,
73020,4,dropped,0,0,,,,cross_player_buy_company,
71632,4,perfect,914,914,,,,,
56052,4,dropped,0,0,,,,illegal_share_buy,
46849,4,perfect,233,233,,,,,
73219,3,dropped,0,0,,,,illegal_share_buy,
71262,6,perfect,780,780,,,,,
42589,4,perfect,783,783,,,,,
42638,4,perfect,441,441,,,,,
83822,4,perfect,473,473,,,,,
50866,3,perfect,745,745,,,,,
38642,4,perfect,739,739,,,,,
53958,4,perfect,841,841,,,,,
26882,6,perfect,483,483,,,,,
30619,4,perfect,447,447,,,,,
30567,4,perfect,455,455,,,,,
47880,4,perfect,706,706,,,,,
55829,2,perfect,793,793,,,,,
48345,3,dropped,0,0,,,,mh_out_of_turn,
27469,3,perfect,355,355,,,,,
26963,5,dropped,0,0,,,,illegal_share_buy,
48910,4,perfect,969,969,,,,,
59611,5,perfect,512,512,,,,,
41848,5,dropped,0,0,,,,illegal_share_buy,
66980,5,perfect,757,757,,,,,
54998,4,perfect,848,848,,,,,
67890,4,perfect,787,787,,,,,
42624,4,perfect,771,771,,,,,
53126,3,perfect,726,726,,,,,
60927,2,perfect,709,709,,,,,
70131,4,perfect,382,382,,,,,
66633,4,perfect,446,446,,,,,
55064,3,perfect,727,727,,,,,
26998,4,perfect,840,840,,,,,
51002,4,perfect,852,852,,,,,
70636,4,perfect,1033,1033,,,,,
58321,4,perfect,845,845,,,,,
82577,4,perfect,829,829,,,,,
72633,4,perfect,718,718,,,,,
83013,4,perfect,386,386,,,,,
70672,4,perfect,992,992,,,,,
83008,5,dropped,0,0,,,,illegal_share_buy,
62408,4,perfect,864,864,,,,,
69294,5,perfect,454,454,,,,,
42714,4,perfect,681,681,,,,,
70244,4,perfect,497,497,,,,,
74461,4,perfect,714,714,,,,,
57127,3,perfect,715,715,,,,,
75032,4,perfect,753,753,,,,,
29019,5,perfect,870,870,,,,,
48186,3,dropped,0,0,,,,illegal_share_buy,
42652,4,perfect,795,795,,,,,
56124,3,dropped,0,0,,,,illegal_share_buy,
70652,4,perfect,861,861,,,,,
27862,4,perfect,881,881,,,,,
52965,3,perfect,879,879,,,,,
62088,4,perfect,336,336,,,,,
72664,2,perfect,341,341,,,,,
40081,4,perfect,444,444,,,,,
30176,3,dropped,0,0,,,,cross_player_buy_company,
62227,2,dropped,0,0,,,,cross_player_buy_company,
85891,4,perfect,594,594,,,,,
29491,4,perfect,350,350,,,,,
43910,5,perfect,741,741,,,,,
83366,5,perfect,790,790,,,,,
52971,3,perfect,522,522,,,,,
84601,4,perfect,800,800,,,,,
78347,4,perfect,803,803,,,,,
62567,4,dropped,0,0,,,,illegal_share_buy,
76333,4,perfect,730,730,,,,,
28218,4,perfect,798,798,,,,,
36712,4,perfect,821,821,,,,,
81460,4,dropped,0,0,,,,illegal_share_buy,
49579,4,perfect,846,846,,,,,
43902,4,perfect,835,835,,,,,
42173,4,perfect,867,867,,,,,
76264,4,perfect,592,592,,,,,
70622,4,perfect,670,670,,,,,
38588,4,dropped,0,0,,,,illegal_share_buy,
82563,4,perfect,1091,1091,,,,,
82637,4,perfect,841,841,,,,,
69713,2,perfect,356,356,,,,,
82086,4,perfect,411,411,,,,,
50029,3,perfect,872,872,,,,,
27482,4,perfect,790,790,,,,,
82579,4,perfect,380,380,,,,,
81291,4,perfect,868,868,,,,,
82558,4,perfect,742,742,,,,,
39180,4,perfect,430,430,,,,,
54852,4,perfect,876,876,,,,,
30008,4,perfect,789,789,,,,,
74081,5,perfect,929,929,,,,,
